用户昵称,消息角色,消息内容,时间戳,消息来源
123321,buyer,一天多少钱,2025-11-18 23:02:24,browser_automation
123321,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:24,browser_automation
123321,seller,宝子是几号到几号需要的？,2025-11-18 23:02:24,browser_automation
123321,buyer,14,2025-11-18 23:02:24,browser_automation
123321,buyer,9.14,2025-11-18 23:02:24,browser_automation
123321,seller,可以的宝子,2025-11-18 23:02:24,browser_automation
123321,seller,9.14一天，9.13到手，9.15寄回,2025-11-18 23:02:24,browser_automation
123321,seller,标配 180，摄影师套装250,2025-11-18 23:02:24,browser_automation
123321,buyer,一天多少钱,2025-11-18 23:02:24,browser_automation
123321,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:24,browser_automation
123321,seller,宝子是几号到几号需要的？,2025-11-18 23:02:24,browser_automation
123321,buyer,14,2025-11-18 23:02:24,browser_automation
123321,buyer,9.14,2025-11-18 23:02:24,browser_automation
123321,seller,可以的宝子,2025-11-18 23:02:24,browser_automation
123321,seller,9.14一天，9.13到手，9.15寄回,2025-11-18 23:02:24,browser_automation
123321,seller,标配 180，摄影师套装250,2025-11-18 23:02:24,browser_automation
123321,buyer,123321(秦***9)闲鱼号...,2025-11-18 23:02:24,browser_automation
123321,buyer,08-28 11:12一天多少钱亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-28 13:37宝子是几号到几号需要的？已读08-28 15:28149.1408-29 17:20可以的宝子已读9.14一天，9.13到手，9.15寄回已读标配 180，摄影师套装250已读,2025-11-18 23:02:24,browser_automation
123321,buyer,一天多少钱,2025-11-18 23:02:24,browser_automation
123321,buyer,一天多少钱,2025-11-18 23:02:24,browser_automation
123321,buyer,一天多少钱,2025-11-18 23:02:24,browser_automation
123321,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:24,browser_automation
123321,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:24,browser_automation
123321,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:24,browser_automation
123321,seller,宝子是几号到几号需要的？已读,2025-11-18 23:02:24,browser_automation
123321,seller,宝子是几号到几号需要的？已读,2025-11-18 23:02:24,browser_automation
123321,seller,宝子是几号到几号需要的？,2025-11-18 23:02:24,browser_automation
123321,buyer,14,2025-11-18 23:02:24,browser_automation
123321,buyer,14,2025-11-18 23:02:24,browser_automation
123321,buyer,14,2025-11-18 23:02:24,browser_automation
123321,buyer,9.14,2025-11-18 23:02:24,browser_automation
123321,buyer,9.14,2025-11-18 23:02:24,browser_automation
123321,buyer,9.14,2025-11-18 23:02:24,browser_automation
123321,seller,可以的宝子已读,2025-11-18 23:02:24,browser_automation
123321,seller,可以的宝子已读,2025-11-18 23:02:24,browser_automation
123321,seller,可以的宝子,2025-11-18 23:02:24,browser_automation
123321,seller,9.14一天，9.13到手，9.15寄回已读,2025-11-18 23:02:24,browser_automation
123321,seller,9.14一天，9.13到手，9.15寄回已读,2025-11-18 23:02:24,browser_automation
123321,seller,9.14一天，9.13到手，9.15寄回,2025-11-18 23:02:24,browser_automation
123321,seller,标配 180，摄影师套装250已读,2025-11-18 23:02:24,browser_automation
123321,seller,标配 180，摄影师套装250已读,2025-11-18 23:02:24,browser_automation
123321,seller,标配 180，摄影师套装250,2025-11-18 23:02:24,browser_automation
