用户昵称,消息角色,消息内容,时间戳,消息来源
Mario,seller,机子已发出正在等待揽收,2025-11-18 22:46:32,browser_automation
Mario,seller,"1.🔋快递运输建议电池不能满电运输，收到之后需自行充电使用。

2.📦收到和寄回请拍摄开箱以及封箱视频，自行保留备用；寄回时对照寄出前的物品清单避免遗漏。

3.⚠️读卡器尽量使用配备的USB读卡器或相机无线传输功能，使用转换器有风险，若使用转换器直传手机，造成数据丢失、烧卡须自行承担后果。

4.📦寄回请使用顺丰快递保价寄回，若使用其他快递寄回，运输时效将计入实际租",2025-11-18 22:46:32,browser_automation
Mario,buyer,好的,2025-11-18 22:46:32,browser_automation
Mario,seller,机子已发出正在等待揽收,2025-11-18 22:46:32,browser_automation
Mario,seller,"1.🔋快递运输建议电池不能满电运输，收到之后需自行充电使用。

2.📦收到和寄回请拍摄开箱以及封箱视频，自行保留备用；寄回时对照寄出前的物品清单避免遗漏。

3.⚠️读卡器尽量使用配备的USB读卡器或相机无线传输功能，使用转换器有风险，若使用转换器直传手机，造成数据丢失、烧卡须自行承担后果。

4.📦寄回请使用顺丰快递保价寄回，若使用其他快递寄回，运输时效将计入实际租",2025-11-18 22:46:32,browser_automation
Mario,buyer,好的,2025-11-18 22:46:32,browser_automation
Mario,buyer,Mario(x***5)闲鱼号...,2025-11-18 22:46:32,browser_automation
Mario,seller,验货通过,2025-11-18 22:46:32,browser_automation
Mario,buyer,"11-13 14:51图片预览已读图片预览已读图片预览已读图片预览已读图片预览已读已读你已发货机子已发出正在等待揽收[玫瑰]
1.🔋快递运输建议电池不能满电运输，收到之后需自行充电使用。

2.📦收到和寄回请拍摄开箱以及封箱视频，自行保留备用；寄回时对照寄出前的物品清单避免遗漏。

3.⚠️读卡器尽量使用配备的USB读卡器或相机无线传输功能，使用转换器有风险，若使用转换器直传手机，造成数据丢失、烧卡须自行承担后果。

4.📦寄回请使用顺丰快递保价寄回，若使用其他快递寄回，运输时效将计入实际租已读好的此消息不支持在PC端浏览，请到APP上查看已读11-14 00:00请确认商品寄回地址请尽快确认商品寄回地址 去确认昨天 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回未读昨天 15:37买家已寄回",2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,图片预览已读,2025-11-18 22:46:32,browser_automation
Mario,seller,已读,2025-11-18 22:46:32,browser_automation
Mario,seller,已读,2025-11-18 22:46:32,browser_automation
Mario,seller,"机子已发出正在等待揽收[玫瑰]
1.🔋快递运输建议电池不能满电运输，收到之后需自行充电使用。

2.📦收到和寄回请拍摄开箱以及封箱视频，自行保留备用；寄回时对照寄出前的物品清单避免遗漏。

3.⚠️读卡器尽量使用配备的USB读卡器或相机无线传输功能，使用转换器有风险，若使用转换器直传手机，造成数据丢失、烧卡须自行承担后果。

4.📦寄回请使用顺丰快递保价寄回，若使用其他快递寄回，运输时效将计入实际租已读",2025-11-18 22:46:32,browser_automation
Mario,seller,"机子已发出正在等待揽收[玫瑰]
1.🔋快递运输建议电池不能满电运输，收到之后需自行充电使用。

2.📦收到和寄回请拍摄开箱以及封箱视频，自行保留备用；寄回时对照寄出前的物品清单避免遗漏。

3.⚠️读卡器尽量使用配备的USB读卡器或相机无线传输功能，使用转换器有风险，若使用转换器直传手机，造成数据丢失、烧卡须自行承担后果。

4.📦寄回请使用顺丰快递保价寄回，若使用其他快递寄回，运输时效将计入实际租已读",2025-11-18 22:46:32,browser_automation
Mario,seller,"机子已发出正在等待揽收[玫瑰]
1.🔋快递运输建议电池不能满电运输，收到之后需自行充电使用。

2.📦收到和寄回请拍摄开箱以及封箱视频，自行保留备用；寄回时对照寄出前的物品清单避免遗漏。

3.⚠️读卡器尽量使用配备的USB读卡器或相机无线传输功能，使用转换器有风险，若使用转换器直传手机，造成数据丢失、烧卡须自行承担后果。

4.📦寄回请使用顺丰快递保价寄回，若使用其他快递寄回，运输时效将计入实际租",2025-11-18 22:46:32,browser_automation
Mario,buyer,好的,2025-11-18 22:46:32,browser_automation
Mario,buyer,好的,2025-11-18 22:46:32,browser_automation
Mario,buyer,好的,2025-11-18 22:46:32,browser_automation
Mario,seller,此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 22:46:32,browser_automation
Mario,seller,此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 22:46:32,browser_automation
Mario,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:46:32,browser_automation
Mario,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:46:32,browser_automation
Mario,seller,你已发货,2025-11-18 22:46:32,browser_automation
Mario,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:46:32,browser_automation
Mario,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:46:32,browser_automation
Mario,seller,租期结束，请尽快寄回商品,2025-11-18 22:46:32,browser_automation
Mario,seller,请和卖家确认地址后寄回,2025-11-18 22:46:32,browser_automation
Mario,seller,买家已寄回,2025-11-18 22:46:32,browser_automation
