用户昵称,消息角色,消息内容,时间戳,消息来源
YOLO,buyer,YOLO(x***5)闲鱼号...,2025-11-18 22:59:17,browser_automation
YOLO,seller,去评价,2025-11-18 22:59:17,browser_automation
YOLO,buyer,08-29 17:05我已拍下，待付款请双方沟通及时确认价格我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货在线寄件运费【立减2元】 点击预约快递08-30 18:33你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认09-02 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回未读09-04 17:18买家已寄回09-08 10:52请确认退回金额我已验货完成，请尽快确认未读09-09 10:52买家已确认退回金额，交易成功,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已拍下，待付款请双方沟通及时确认价格,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已拍下，待付款请双方沟通及时确认价格,2025-11-18 22:59:17,browser_automation
YOLO,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:59:17,browser_automation
YOLO,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:59:17,browser_automation
YOLO,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:59:17,browser_automation
YOLO,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:59:17,browser_automation
YOLO,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:59:17,browser_automation
YOLO,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已拍下，待付款请双方沟通及时确认价格,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已拍下，待付款,2025-11-18 22:59:17,browser_automation
YOLO,buyer,请双方沟通及时确认价格,2025-11-18 22:59:17,browser_automation
YOLO,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款,2025-11-18 22:59:17,browser_automation
YOLO,seller,我已修改价格，等待你付款,2025-11-18 22:59:17,browser_automation
YOLO,seller,请确认价格与协商一致，并在24小时内付款,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:59:17,browser_automation
YOLO,buyer,我已付款，等待你发货,2025-11-18 22:59:17,browser_automation
YOLO,buyer,请包装好商品，并按我在闲鱼上提供的地址发货,2025-11-18 22:59:17,browser_automation
YOLO,seller,去发货,2025-11-18 22:59:17,browser_automation
YOLO,seller,去发货,2025-11-18 22:59:17,browser_automation
YOLO,seller,在线寄件运费【立减2元】 点击预约快递,2025-11-18 22:59:17,browser_automation
YOLO,seller,你已发货,2025-11-18 22:59:17,browser_automation
YOLO,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:59:17,browser_automation
YOLO,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:59:17,browser_automation
YOLO,seller,租期结束，请尽快寄回商品,2025-11-18 22:59:17,browser_automation
YOLO,seller,请和卖家确认地址后寄回,2025-11-18 22:59:17,browser_automation
YOLO,seller,买家已寄回,2025-11-18 22:59:17,browser_automation
YOLO,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 22:59:17,browser_automation
YOLO,seller,请确认退回金额,2025-11-18 22:59:17,browser_automation
YOLO,seller,我已验货完成，请尽快确认,2025-11-18 22:59:17,browser_automation
YOLO,seller,买家已确认退回金额，交易成功,2025-11-18 22:59:17,browser_automation
