用户昵称,消息角色,消息内容,时间戳,消息来源
全是柚子茶,seller,okk,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,okk,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,全是柚子茶(x***6)闲鱼号...,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,查看评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,08-23 19:19okk已读我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货在线寄件运费【立减2元】 点击预约快递09-09 09:54你已发货09-12 00:00请确认商品寄回地址请尽快确认商品寄回地址 去确认09-15 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回未读09-15 10:46买家已寄回09-22 10:50请确认退回金额我已验货完成，请尽快确认未读买家已确认退回金额，交易成功09-22 10:55我完成了评价期待你的评价去评价09-22 11:37我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,okk已读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,okk已读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,okk,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我完成了评价期待你的评价去评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我完成了评价期待你的评价去评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我已付款，等待你发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,请包装好商品，并按我在闲鱼上提供的地址发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,去发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,去发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,在线寄件运费【立减2元】 点击预约快递,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,你已发货,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,租期结束，请尽快寄回商品,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,请和卖家确认地址后寄回,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,买家已寄回,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,请确认退回金额,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,我已验货完成，请尽快确认,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,买家已确认退回金额，交易成功,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我完成了评价期待你的评价去评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,我完成了评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,buyer,期待你的评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,去评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,去评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,我完成了评价已完成互评，可以查看评价查看评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,我完成了评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,已完成互评，可以查看评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,查看评价,2025-11-18 22:56:18,browser_automation
全是柚子茶,seller,查看评价,2025-11-18 22:56:18,browser_automation
