用户昵称,消息角色,消息内容,时间戳,消息来源
取名字太难了我想不出,seller,sorry 哈哈 我忘记点了,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,sorry 哈哈 我忘记点了,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,取名字太难了我想不出(t***9)闲鱼号...,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,查看评价,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,10-09 21:40在线寄件运费【立减2元】 点击预约快递10-13 21:30记得及时发货如已发货，请点击「去发货」输入快递单号去发货你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认租期结束，请尽快寄回商品请和卖家确认地址后寄回未读sorry 哈哈 我忘记点了已读买家已寄回10-15 16:27请确认退回金额我已验货完成，请尽快确认未读10-16 16:27买家已确认退回金额，交易成功宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读10-30 17:17我完成了评价期待你的评价查看评价未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,记得及时发货如已发货，请点击「去发货」输入快递单号去发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,记得及时发货如已发货，请点击「去发货」输入快递单号去发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,sorry 哈哈 我忘记点了已读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,sorry 哈哈 我忘记点了已读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,sorry 哈哈 我忘记点了,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,我完成了评价期待你的评价查看评价未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,我完成了评价期待你的评价查看评价未读,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,在线寄件运费【立减2元】 点击预约快递,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,记得及时发货如已发货，请点击「去发货」输入快递单号去发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,记得及时发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,如已发货，请点击「去发货」输入快递单号,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,去发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,去发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,你已发货,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,租期结束，请尽快寄回商品,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,请和卖家确认地址后寄回,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,买家已寄回,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,请确认退回金额,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,我已验货完成，请尽快确认,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,买家已确认退回金额，交易成功,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,我完成了评价期待你的评价查看评价,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,我完成了评价,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,期待你的评价,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,查看评价,2025-11-18 22:51:21,browser_automation
取名字太难了我想不出,seller,查看评价,2025-11-18 22:51:21,browser_automation
