用户昵称,消息角色,消息内容,时间戳,消息来源
安德礼品坊,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,咨询一下这个,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,你好,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,您是几号到几号需要？,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,咨询一下这个,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,你好,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,您是几号到几号需要？,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,安德礼品坊(安***坊)闲鱼号...,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,10-06 07:34图片预览亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读咨询一下这个10-06 14:06你好未读您是几号到几号需要？未读,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,图片预览,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,图片预览,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,咨询一下这个,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,咨询一下这个,2025-11-18 22:54:51,browser_automation
安德礼品坊,buyer,咨询一下这个,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,你好未读,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,你好未读,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,你好,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,您是几号到几号需要？未读,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,您是几号到几号需要？未读,2025-11-18 22:54:51,browser_automation
安德礼品坊,seller,您是几号到几号需要？,2025-11-18 22:54:51,browser_automation
