用户昵称,消息角色,消息内容,时间戳,消息来源
小狗眨眨眼,seller,100+20支架,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,100+20支架,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,小狗眨眨眼(t***8)闲鱼号...,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,去评价,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,08-22 22:12100+20支架已读已读08-22 22:26你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走已读08-23 12:21我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货在线寄件运费【立减2元】 点击预约快递已读08-27 22:15你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认09-01 09:57买家已寄回09-05 10:29请确认退回金额我已验货完成，请尽快确认已读09-06 10:29买家已确认退回金额，交易成功宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,100+20支架已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,100+20支架已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,100+20支架,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,请确认退回金额我已验货完成，请尽快确认已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,请确认退回金额我已验货完成，请尽快确认已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,你当前宝贝拍下未付款,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,请在15分钟内付款，避免宝贝被其他人抢走,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,我已付款，等待你发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,请包装好商品，并按我在闲鱼上提供的地址发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,去发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,去发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,在线寄件运费【立减2元】 点击预约快递,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,你已发货,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,买家已寄回,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,请确认退回金额,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,我已验货完成，请尽快确认,2025-11-18 23:00:01,browser_automation
小狗眨眨眼,seller,买家已确认退回金额，交易成功,2025-11-18 23:00:01,browser_automation
