用户昵称,消息角色,消息内容,时间戳,消息来源
小醒卷心菜,seller,标准版+256g内存+mini桌面三脚架,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,"我已发货，你可以点击下方链接查看物流信息：
https://m.goofish.pro/xy/logistics/1196015181285957",2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,标准版+256g内存+mini桌面三脚架,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,"我已发货，你可以点击下方链接查看物流信息：
https://m.goofish.pro/xy/logistics/1196015181285957",2025-11-18 23:01:40,browser_automation
小醒卷心菜,buyer,小醒卷心菜(x***9)闲鱼号...,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,查看评价,2025-11-18 23:01:40,browser_automation
小醒卷心菜,buyer,"08-14 21:30此消息不支持在PC端浏览，请到APP上查看已读标准版+256g内存+mini桌面三脚架已读16:28此消息不支持在PC端浏览，请到APP上查看17:58你已发货我已发货，你可以点击下方链接查看物流信息：
https://m.goofish.pro/xy/logistics/1196015181285957已读图片预览已读08-24 00:00请确认商品寄回地址请尽快确认商品寄回地址 去确认08-26 18:14买家已寄回09-01 09:28请确认退回金额我已验货完成，请尽快确认未读09-01 11:39买家已确认退回金额，交易成功09-01 11:55我完成了评价期待你的评价查看评价未读",2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,标准版+256g内存+mini桌面三脚架已读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,标准版+256g内存+mini桌面三脚架已读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,标准版+256g内存+mini桌面三脚架,2025-11-18 23:01:40,browser_automation
小醒卷心菜,buyer,此消息不支持在PC端浏览，请到APP上查看,2025-11-18 23:01:40,browser_automation
小醒卷心菜,buyer,此消息不支持在PC端浏览，请到APP上查看,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,"我已发货，你可以点击下方链接查看物流信息：
https://m.goofish.pro/xy/logistics/1196015181285957已读",2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,"我已发货，你可以点击下方链接查看物流信息：
https://m.goofish.pro/xy/logistics/1196015181285957已读",2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,"我已发货，你可以点击下方链接查看物流信息：
https://m.goofish.pro/xy/logistics/1196015181285957",2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,图片预览已读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,图片预览已读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,我完成了评价期待你的评价查看评价未读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,我完成了评价期待你的评价查看评价未读,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,你已发货,2025-11-18 23:01:40,browser_automation
小醒卷心菜,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,买家已寄回,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,请确认退回金额,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,我已验货完成，请尽快确认,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,买家已确认退回金额，交易成功,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,我完成了评价期待你的评价查看评价,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,我完成了评价,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,期待你的评价,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,查看评价,2025-11-18 23:01:40,browser_automation
小醒卷心菜,seller,查看评价,2025-11-18 23:01:40,browser_automation
