用户昵称,消息角色,消息内容,时间戳,消息来源
幸运浣熊,seller,okk~,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,okk~,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,幸运浣熊(x***1)闲鱼号...,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,去评价,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,08-19 10:05我已拍下，待付款请双方沟通及时确认价格我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读okk~已读我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货此消息不支持在PC端浏览，请到APP上查看已读08-21 14:41你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认08-24 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回未读09-23 00:00买家已确认退回金额，交易成功,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已拍下，待付款请双方沟通及时确认价格,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已拍下，待付款请双方沟通及时确认价格,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,okk~已读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,okk~已读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,okk~,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已拍下，待付款请双方沟通及时确认价格,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已拍下，待付款,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,请双方沟通及时确认价格,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,我已修改价格，等待你付款,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,请确认价格与协商一致，并在24小时内付款,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,我已付款，等待你发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,请包装好商品，并按我在闲鱼上提供的地址发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,去发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,去发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,你已发货,2025-11-18 22:56:08,browser_automation
幸运浣熊,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,租期结束，请尽快寄回商品,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,请和卖家确认地址后寄回,2025-11-18 22:56:08,browser_automation
幸运浣熊,seller,买家已确认退回金额，交易成功,2025-11-18 22:56:08,browser_automation
