用户昵称,消息角色,消息内容,时间戳,消息来源
数码宝库,buyer,4号有档期么,2025-11-18 23:01:08,browser_automation
数码宝库,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:01:08,browser_automation
数码宝库,seller,今天吗？宝子你是寄哪里？,2025-11-18 23:01:08,browser_automation
数码宝库,seller,我看看顺丰时效哈,2025-11-18 23:01:08,browser_automation
数码宝库,seller,南京的话可以,2025-11-18 23:01:08,browser_automation
数码宝库,buyer,4号有档期么,2025-11-18 23:01:08,browser_automation
数码宝库,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:01:08,browser_automation
数码宝库,seller,今天吗？宝子你是寄哪里？,2025-11-18 23:01:08,browser_automation
数码宝库,seller,我看看顺丰时效哈,2025-11-18 23:01:08,browser_automation
数码宝库,seller,南京的话可以,2025-11-18 23:01:08,browser_automation
数码宝库,buyer,数码宝库(x***4)闲鱼号...,2025-11-18 23:01:08,browser_automation
数码宝库,buyer,09-03 21:354号有档期么亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复未读09-04 10:14今天吗？宝子你是寄哪里？未读我看看顺丰时效哈未读南京的话可以未读,2025-11-18 23:01:08,browser_automation
数码宝库,buyer,4号有档期么,2025-11-18 23:01:08,browser_automation
数码宝库,buyer,4号有档期么,2025-11-18 23:01:08,browser_automation
数码宝库,buyer,4号有档期么,2025-11-18 23:01:08,browser_automation
数码宝库,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:01:08,browser_automation
数码宝库,seller,今天吗？宝子你是寄哪里？未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,今天吗？宝子你是寄哪里？未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,今天吗？宝子你是寄哪里？,2025-11-18 23:01:08,browser_automation
数码宝库,seller,我看看顺丰时效哈未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,我看看顺丰时效哈未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,我看看顺丰时效哈,2025-11-18 23:01:08,browser_automation
数码宝库,seller,南京的话可以未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,南京的话可以未读,2025-11-18 23:01:08,browser_automation
数码宝库,seller,南京的话可以,2025-11-18 23:01:08,browser_automation
