用户昵称,消息角色,消息内容,时间戳,消息来源
瓦杜兹冲浪的鱼片,buyer,10.25-10.26还能租吗，东莞,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,你好,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,可以的哦~,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,您是在东莞哪里？近的话可以来自提哒宝子,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,已经租到啦 不好意思 谢谢,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,哈哈 好的好的,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,10.25-10.26还能租吗，东莞,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,你好,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,可以的哦~,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,您是在东莞哪里？近的话可以来自提哒宝子,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,已经租到啦 不好意思 谢谢,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,哈哈 好的好的,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,瓦杜兹冲浪的鱼片(b***v)闲鱼号...,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,"10-22 13:0910.25-10.26还能租吗，东莞你好 已读可以的哦~已读你撤回了一条消息您是在东莞哪里？近的话可以来自提哒宝子已读10-22 13:17已经租到啦 不好意思 谢谢该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额哈哈 好的好的已读",2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,10.25-10.26还能租吗，东莞,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,10.25-10.26还能租吗，东莞,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,10.25-10.26还能租吗，东莞,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,你好 已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,你好 已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,你好,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,可以的哦~已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,可以的哦~已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,可以的哦~,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,您是在东莞哪里？近的话可以来自提哒宝子已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,您是在东莞哪里？近的话可以来自提哒宝子已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,您是在东莞哪里？近的话可以来自提哒宝子,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,已经租到啦 不好意思 谢谢,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,已经租到啦 不好意思 谢谢,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,buyer,已经租到啦 不好意思 谢谢,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,哈哈 好的好的已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,哈哈 好的好的已读,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,哈哈 好的好的,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,你撤回了一条消息,2025-11-18 22:52:16,browser_automation
瓦杜兹冲浪的鱼片,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 22:52:16,browser_automation
