用户昵称,消息角色,消息内容,时间戳,消息来源
落雪de天空,buyer,你们南京办公点楼下的快递柜可以寄存么？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我晚上直接送过去？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我刚看了下，寄回的地址不是南京，可是我是南京自提的,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,你们南京办公点楼下的快递柜可以寄存么？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我晚上直接送过去？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我刚看了下，寄回的地址不是南京，可是我是南京自提的,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,落雪de天空(t***5)闲鱼号...,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,去评价,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,11-05 11:29我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货11-14 17:25此消息不支持在PC端浏览，APP扫码查看你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认11-16 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回已读11-16 18:29你们南京办公点楼下的快递柜可以寄存么？我晚上直接送过去？我刚看了下，寄回的地址不是南京，可是我是南京自提的昨天 16:51买家已寄回昨天 17:00请确认退回金额我已验货完成，请尽快确认未读08:50买家已确认退回金额，交易成功,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回已读,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回已读,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,你们南京办公点楼下的快递柜可以寄存么？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,你们南京办公点楼下的快递柜可以寄存么？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,你们南京办公点楼下的快递柜可以寄存么？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我晚上直接送过去？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我晚上直接送过去？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我晚上直接送过去？,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我刚看了下，寄回的地址不是南京，可是我是南京自提的,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我刚看了下，寄回的地址不是南京，可是我是南京自提的,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我刚看了下，寄回的地址不是南京，可是我是南京自提的,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,我已付款，等待你发货,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,请包装好商品，并按我在闲鱼上提供的地址发货,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,去发货,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,去发货,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,你已发货,2025-11-18 22:46:21,browser_automation
落雪de天空,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,租期结束，请尽快寄回商品,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,请和卖家确认地址后寄回,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,买家已寄回,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,请确认退回金额,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,我已验货完成，请尽快确认,2025-11-18 22:46:21,browser_automation
落雪de天空,seller,买家已确认退回金额，交易成功,2025-11-18 22:46:21,browser_automation
