用户昵称,消息角色,消息内容,时间戳,消息来源
该用户已注销,buyer,你好：平时需要发快递或退货发快递，可以使用薇心小 禾呈 序搜《秋寄》。全国寄件一公斤4元起。顺丰 京东 韵达等快递 3公斤同城6元起，能上门取件，祝你生意红火，闲鱼销量一路涨！,2025-11-18 22:47:06,browser_automation
该用户已注销,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:47:06,browser_automation
该用户已注销,buyer,你好：平时需要发快递或退货发快递，可以使用薇心小 禾呈 序搜《秋寄》。全国寄件一公斤4元起。顺丰 京东 韵达等快递 3公斤同城6元起，能上门取件，祝你生意红火，闲鱼销量一路涨！,2025-11-18 22:47:06,browser_automation
该用户已注销,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:47:06,browser_automation
该用户已注销,buyer,该用户已注销(该***销)闲鱼号...,2025-11-18 22:47:06,browser_automation
该用户已注销,buyer,11-16 04:30你好：平时需要发快递或退货发快递，可以使用薇心小 禾呈 序搜《秋寄》。全国寄件一公斤4元起。顺丰 京东 韵达等快递 3公斤同城6元起，能上门取件，祝你生意红火，闲鱼销量一路涨！亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:47:06,browser_automation
该用户已注销,buyer,你好：平时需要发快递或退货发快递，可以使用薇心小 禾呈 序搜《秋寄》。全国寄件一公斤4元起。顺丰 京东 韵达等快递 3公斤同城6元起，能上门取件，祝你生意红火，闲鱼销量一路涨！,2025-11-18 22:47:06,browser_automation
该用户已注销,buyer,你好：平时需要发快递或退货发快递，可以使用薇心小 禾呈 序搜《秋寄》。全国寄件一公斤4元起。顺丰 京东 韵达等快递 3公斤同城6元起，能上门取件，祝你生意红火，闲鱼销量一路涨！,2025-11-18 22:47:06,browser_automation
该用户已注销,buyer,你好：平时需要发快递或退货发快递，可以使用薇心小 禾呈 序搜《秋寄》。全国寄件一公斤4元起。顺丰 京东 韵达等快递 3公斤同城6元起，能上门取件，祝你生意红火，闲鱼销量一路涨！,2025-11-18 22:47:06,browser_automation
该用户已注销,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:47:06,browser_automation
该用户已注销,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:47:06,browser_automation
该用户已注销,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:47:06,browser_automation
